type,id,lat/u,lon/v,-/dist,name
node,104130345,40.463818,-74.484107,,
node,104130347,40.463689,-74.484241,,
node,104130348,40.462965,-74.48499,,
node,104130350,40.462687,-74.485278,,
node,104130351,40.462037,-74.486341,,
node,104130359,40.5028504,-74.4353862,,
node,104130366,40.5054131,-74.4325211,,
node,104130368,40.5065907,-74.4312433,,
node,104131106,40.49968,-74.4215834,,
node,104131626,40.5059212,-74.4525615,,
node,104131629,40.5059561,-74.4524975,,
node,104131634,40.5059809,-74.4524426,,
node,104131636,40.5059906,-74.4523262,,
node,104131637,40.5059707,-74.4522076,,
node,104131639,40.5059419,-74.4521483,,
node,104131642,40.5058993,-74.4520946,,
node,104131645,40.505624,-74.451832,,
node,104131720,40.5200724,-74.4237086,,
node,104131722,40.5232703,-74.4237527,,
node,104131727,40.5250559,-74.4237138,,
node,104131730,40.5254847,-74.4237773,,
node,104131946,40.4615053,-74.4231628,,
node,104132194,40.4817369,-74.4259068,,
node,104132196,40.4817655,-74.4258504,,
node,104132198,40.4818078,-74.4258236,,
node,104132200,40.4818583,-74.4258279,,
node,104132204,40.4818876,-74.4258654,,
node,104132238,40.4817442,-74.4260066,,
node,104132529,40.5076796,-74.4342187,,
node,104132531,40.5080154,-74.4338744,,
node,104132533,40.5083182,-74.4336403,,
node,104132535,40.5085562,-74.4332438,,
node,104132537,40.5088375,-74.4329602,,
node,104132541,40.50763,-74.43321,,
node,104132544,40.5076086,-74.433158,,
node,104132548,40.5076066,-74.4331142,,
node,104132549,40.5078887,-74.432618,,
node,104132551,40.5079215,-74.4326002,,
node,104132552,40.5079796,-74.4326036,,
node,104132554,40.5080377,-74.4326275,,
node,104132556,40.5081005,-74.4326826,,
node,104132558,40.5081423,-74.4327321,,
node,104132848,40.472426,-74.489481,,
node,104133049,40.5332066,-74.4578145,,
node,104133106,40.4793948,-74.4514319,,
node,104133647,40.51763,-74.476025,,
node,104133649,40.5169747,-74.474818,,
node,104133783,40.5068966,-74.4347546,,
node,104133785,40.5064304,-74.4353021,,
node,104133787,40.5060843,-74.4359971,,
node,104133789,40.5056682,-74.4368901,,
node,104133791,40.5056586,-74.4369417,,
node,104133793,40.5056936,-74.4370417,,
node,104133795,40.5060922,-74.4373678,,
node,104133797,40.5065535,-74.4377393,,
node,104133799,40.5068737,-74.43798,,
node,104133902,40.5169545,-74.4357856,,
node,104133906,40.5183772,-74.4324973,,
node,104133935,40.4948839,-74.4162868,,
node,104134005,40.4822415,-74.4190751,,
node,104134152,40.4681361,-74.4655165,,
node,104134154,40.468018,-74.465645,,
node,104134642,40.4693145,-74.4349292,,
node,104135296,40.4816831,-74.4500952,,
